NAN  idx chi2        BLNY      Nu_c       Nd_c      au_c      ad_c      bu_c      bd_c      Nu_T      Nd_T      au_T      ad_T      bu_T      bd_T                                   
au_c  11  492.064224  0.023617  0.261971  -0.195220  1.696100  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  12  491.960024  0.023617  0.261971  -0.195220  1.695620  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  13  492.036757  0.023617  0.261971  -0.195220  1.695980  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  14  491.984670  0.023617  0.261971  -0.195220  1.695740  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  15  492.023378  0.023617  0.261971  -0.195220  1.695920  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  16  491.997321  0.023617  0.261971  -0.195220  1.695800  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  17  492.016775  0.023617  0.261971  -0.195220  1.695890  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  18  492.003747  0.023617  0.261971  -0.195220  1.695830  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  19  492.012406  0.023617  0.261971  -0.195220  1.695870  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
au_c  20  492.008064  0.023617  0.261971  -0.195220  1.695850  0.320601  0.000001  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  1  140309.648623  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.797360  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  3  47616.512581  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.400487  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  5  14311.711581  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.202050  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  7  4264.826624  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.102832  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  9  1490.804121  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.053223  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  11  755.441943  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.028418  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  13  562.909677  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.016016  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  15  512.020623  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.009815  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  17  498.124605  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.006714  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  18  493.728536  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.000513  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  19  494.092751  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.005164  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bd_c  20  491.884492  0.023617  0.261971  -0.195220  1.695860  0.320601  0.000001  0.002064  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  1  16571.582927  0.023617  0.261971  -0.195220  1.695860  0.320601  0.538258  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  3  5602.643949  0.023617  0.261971  -0.195220  1.695860  0.320601  0.269130  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  5  1957.336613  0.023617  0.261971  -0.195220  1.695860  0.320601  0.134566  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  7  894.353866  0.023617  0.261971  -0.195220  1.695860  0.320601  0.067284  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  9  602.322880  0.023617  0.261971  -0.195220  1.695860  0.320601  0.033642  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  11  523.359251  0.023617  0.261971  -0.195220  1.695860  0.320601  0.016822  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  13  501.600193  0.023617  0.261971  -0.195220  1.695860  0.320601  0.008412  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  15  495.262940  0.023617  0.261971  -0.195220  1.695860  0.320601  0.004207  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  17  493.246038  0.023617  0.261971  -0.195220  1.695860  0.320601  0.002104  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
bu_c  19  492.530918  0.023617  0.261971  -0.195220  1.695860  0.320601  0.001053  0.003614  0.854376 -0.999999  0.688367  1.794340  0.048195  6.996760
