                  BLNY           Nu_c           Nd_c           au_c           ad_c           bu_c           bd_c           Nu_T           Nd_T           au_T           ad_T           bu_T           bd_T
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.70345e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.68827e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69966e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69206e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69776e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69396e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69681e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69491e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69633e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69539e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69610e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69562e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69598e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69574e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69592e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69580e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69589e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69583e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69587e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   au_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69585e+00    3.20601e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.60717e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    2.80485e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.40659e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.00543e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.30630e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.10572e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.25616e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.15587e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.23108e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.18094e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.21855e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.19347e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.21228e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.19974e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20914e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20288e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20758e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20444e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20679e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   ad_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20523e-01    1.46831e-06    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    5.38258e-01    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -5.38256e-01    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    2.69130e-01    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -2.69127e-01    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    1.34566e-01    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -1.34563e-01    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01    6.72836e-02    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
   bu_c    2.36166e-02    2.61971e-01   -1.95220e-01    1.69586e+00    3.20601e-01   -6.72807e-02    3.61390e-03    8.54376e-01   -9.99999e-01    6.88367e-01    1.79434e+00    4.81953e-02    6.99676e+00
